FinDate,Institutional_sector_name,Institutional_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Status,Values
2008-12-31,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,REVISED,225544
2009-12-31,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,REVISED,243315
2010-12-31,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,REVISED,259381
2011-12-31,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,REVISED,262596
2012-12-31,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,REVISED,267100
2013-12-31,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,REVISED,273639
2014-12-31,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,REVISED,285309
2015-12-31,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,REVISED,296896
2016-12-31,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,REVISED,311332
2017-12-31,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,FINAL,331983
2008-12-31,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,FINAL,135478
2009-12-31,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,FINAL,143787
2010-12-31,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,FINAL,141630
2011-12-31,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,FINAL,145450
2012-12-31,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,FINAL,138599
2013-12-31,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,FINAL,137405
2014-12-31,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,FINAL,144660
2015-12-31,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,REVISED,154157
2016-12-31,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,REVISED,170682
2017-12-31,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,FINAL,158806
2008-12-31,Corporate business enterprises,141,Capital Account Opening balances Total non-financial assets,LS00000,AN00000,REVISED,361022
2009-12-31,Corporate business enterprises,141,Capital Account Opening balances Total non-financial assets,LS00000,AN00000,REVISED,387102
2010-12-31,Corporate business enterprises,141,Capital Account Opening balances Total non-financial assets,LS00000,AN00000,REVISED,401011
2011-12-31,Corporate business enterprises,141,Capital Account Opening balances Total non-financial assets,LS00000,AN00000,REVISED,408046
2012-12-31,Corporate business enterprises,141,Capital Account Opening balances Total non-financial assets,LS00000,AN00000,REVISED,405699
2013-12-31,Corporate business enterprises,141,Capital Account Opening balances Total non-financial assets,LS00000,AN00000,REVISED,411044
